,gene_ids,feature_types,genome,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,highly_variable,means,dispersions,dispersions_norm
POLR3G,ENSG00000113356,Gene Expression,GRCh38,False,24,0.009830908,0.009782899,99.05623279591033,25.0,3.2580965,24,False,0.0067046378411076265,-0.1792475975808966,-1.5752324
LYSMD3,ENSG00000176018,Gene Expression,GRCh38,False,376,0.16437279,0.15218256,85.21431380259537,418.0,6.037871,375,False,0.12742861272177866,0.01035585945653821,-0.38928446
ADGRV1,ENSG00000164199,Gene Expression,GRCh38,False,11,0.0043256,0.0043162713,99.56744003145891,11.0,2.4849067,11,False,0.00356021585914172,0.13737414356423475,0.40520036
ARRDC3,ENSG00000113369,Gene Expression,GRCh38,False,1595,1.2630751,0.81672454,37.27880456154149,3212.0,8.074961,1592,False,0.722111092546288,0.21292767675940039,0.10801326
NR2F1,ENSG00000175745,Gene Expression,GRCh38,False,1472,0.9516319,0.6686659,42.11561148250098,2420.0,7.791936,1471,False,0.6450693776160339,0.20369011539996942,0.068734325
FAM172A,ENSG00000113391,Gene Expression,GRCh38,False,761,0.38183248,0.3234105,70.0747149036571,971.0,6.879356,758,False,0.28898749121555206,0.1663754961603384,0.40139762
POU5F2,ENSG00000248483,Gene Expression,GRCh38,False,206,0.08651199,0.08297256,91.89933149823044,220.0,5.398163,206,False,0.07117716115793886,0.044731712168406934,-0.17426744
KIAA0825,ENSG00000185261,Gene Expression,GRCh38,False,54,0.021234762,0.021012446,97.87652379079827,54.0,4.0073333,54,False,0.01983468369182873,0.06960917819475146,-0.018661736
SLF1,ENSG00000133302,Gene Expression,GRCh38,False,111,0.045615416,0.044605628,95.63507668108532,116.0,4.762174,111,False,0.03382823802238418,-0.06124198814656306,-0.83712083
MCTP1,ENSG00000175471,Gene Expression,GRCh38,False,160,0.066456944,0.06434189,93.70821863940229,169.0,5.1357985,159,False,0.060409830993639224,0.14909087282504146,0.47848716
TTC37,ENSG00000198677,Gene Expression,GRCh38,False,1129,0.63782936,0.4933718,55.60361777428234,1622.0,7.3920317,1128,False,0.4362395351858563,0.038937419103763596,-0.40060735
ARSK,ENSG00000164291,Gene Expression,GRCh38,False,293,0.12583563,0.11852554,88.47817538340543,320.0,5.771441,292,False,0.10007632297662916,0.07340785319726625,0.0050985427
SPATA9,ENSG00000145757,Gene Expression,GRCh38,False,43,0.017695636,0.01754089,98.30908375933937,45.0,3.8286414,42,False,0.015023614448602646,0.08289648569080507,0.064448856
RHOBTB3,ENSG00000164292,Gene Expression,GRCh38,False,1392,0.91506094,0.64974946,45.261502162799836,2327.0,7.7527647,1389,False,0.5851259313159936,0.1415011997876017,0.013236102
GLRX,ENSG00000173221,Gene Expression,GRCh38,False,289,0.12465592,0.117477134,88.63546991742038,317.0,5.7620516,289,False,0.09970934243932718,0.020372922387294483,-0.3266289
ELL2,ENSG00000118985,Gene Expression,GRCh38,False,1879,1.9056233,1.0666479,26.110892646480533,4846.0,8.486115,1877,False,0.9346907075898899,0.24913864572452737,0.09640279
CAST,ENSG00000153113,Gene Expression,GRCh38,False,2101,2.0629177,1.119368,17.381046008651204,5246.0,8.565412,2099,False,1.0419603984290184,0.07820952520750948,-0.85273
ERAP2,ENSG00000164308,Gene Expression,GRCh38,False,38,0.01494298,0.014832434,98.50570192685805,38.0,3.6635616,38,False,0.012172684426054093,-0.019016527894725733,-0.5730054
LNPEP,ENSG00000113441,Gene Expression,GRCh38,False,1258,0.74046403,0.5541518,50.53086905230043,1883.0,7.5411525,1256,False,0.4942703189675832,0.04835884851850634,-0.362592
LIX1,ENSG00000145721,Gene Expression,GRCh38,False,200,0.08415258,0.08079865,92.13527329925284,214.0,5.370638,200,True,0.08945737574897838,0.2681085203252102,1.222929
RIOK2,ENSG00000058729,Gene Expression,GRCh38,False,363,0.15493512,0.14404418,85.72552103814392,394.0,5.9788857,361,False,0.1249152766279595,0.054705975398351495,-0.111879565
RGMB,ENSG00000174136,Gene Expression,GRCh38,False,657,0.31419584,0.27322495,74.16437278804563,799.0,6.684612,654,False,0.23942824699666457,0.08216749750251626,-0.16354857
CHD1,ENSG00000153922,Gene Expression,GRCh38,False,523,0.23869446,0.21405797,79.43373967754621,607.0,6.410175,521,False,0.19135626282388726,0.10027428218860576,0.17314498
FAM174A,ENSG00000174132,Gene Expression,GRCh38,False,736,0.36570978,0.31167427,71.05780574125049,930.0,6.8362594,734,False,0.26886580470350474,0.08085922706497606,-0.17232569
ST8SIA4,ENSG00000113532,Gene Expression,GRCh38,False,111,0.046401888,0.045357507,95.63507668108532,118.0,4.7791233,110,False,0.035033717461638,-0.044782807591349165,-0.73417056
PAM,ENSG00000145730,Gene Expression,GRCh38,False,1603,1.1545419,0.7675781,36.964215493511595,2936.0,7.985144,1601,False,0.716760757001964,0.2354559767579244,0.20380561
GIN1,ENSG00000145723,Gene Expression,GRCh38,False,92,0.036964215,0.036297422,96.38222571765631,94.0,4.553877,92,False,0.03297046647684881,0.10831760842063559,0.22345507
PPIP5K2,ENSG00000145725,Gene Expression,GRCh38,False,680,0.31734172,0.27561584,73.2599292174597,807.0,6.694562,678,False,0.23556982194837536,-0.017266067474544858,-0.83064216
C5orf30,ENSG00000181751,Gene Expression,GRCh38,False,106,0.044435706,0.043476745,95.83169484860402,113.0,4.7361984,105,False,0.03444904649502552,-0.012689990854242286,-0.5334336
NUDT12,ENSG00000112874,Gene Expression,GRCh38,False,143,0.058592215,0.056939926,94.37672040896578,149.0,5.0106354,142,False,0.047792094063740916,-0.0003549213989501241,-0.4562792
EFNA5,ENSG00000184349,Gene Expression,GRCh38,False,530,0.25914276,0.23043114,79.15847424302005,659.0,6.49224,528,False,0.1853550356848017,0.03090876816294756,-0.2607284
FBXL17,ENSG00000145743,Gene Expression,GRCh38,False,784,0.37868658,0.3211313,69.17027133307117,963.0,6.8710914,783,False,0.291967935841405,0.0657330578641298,-0.2738062
FER,ENSG00000151422,Gene Expression,GRCh38,False,917,0.48092803,0.39266893,63.94022807707432,1223.0,7.1098795,915,False,0.35452779264335593,0.1373946195388913,0.20696674
PJA2,ENSG00000198961,Gene Expression,GRCh38,False,2124,2.074715,1.1232122,16.476602438065278,5276.0,8.571113,2121,False,1.0591251989151833,0.10676240406020827,-0.7106317
MAN2A1,ENSG00000112893,Gene Expression,GRCh38,False,879,0.4534015,0.37390667,65.43452615021627,1153.0,7.0509896,876,False,0.3262844745326156,0.07224718465142767,-0.23010333
TMEM232,ENSG00000186952,Gene Expression,GRCh38,False,64,0.025167126,0.02485565,97.48328745576092,64.0,4.1743875,64,False,0.022114425877549807,0.0153756371914941,-0.35788634
SLC25A46,ENSG00000164209,Gene Expression,GRCh38,False,610,0.28666928,0.25205693,76.01258356272119,729.0,6.5930448,608,False,0.22089942419396225,0.024765340359038168,-0.54865605
TSLP,ENSG00000145777,Gene Expression,GRCh38,False,286,0.12426268,0.117127426,88.75344081793158,316.0,5.7589016,286,True,0.11174190670412541,0.18270315176494112,0.68872815
WDR36,ENSG00000134987,Gene Expression,GRCh38,False,515,0.23240267,0.20896566,79.74832874557609,591.0,6.383507,513,False,0.18372271876867363,0.026291359236678268,-0.28960973
CAMK4,ENSG00000152495,Gene Expression,GRCh38,False,169,0.07078254,0.06838973,93.35430593786866,180.0,5.198497,168,False,0.057352544194995574,0.057987541116865354,-0.091353744
STARD4,ENSG00000164211,Gene Expression,GRCh38,False,565,0.25914276,0.23043114,77.7821470703893,659.0,6.49224,565,False,0.21927266052339867,0.12916322062091815,0.1517428
NREP,ENSG00000134986,Gene Expression,GRCh38,False,1106,0.5985057,0.46906924,56.50806134486827,1522.0,7.3284373,1105,False,0.4532293126850265,0.17369101603642043,0.14312157
EPB41L4A,ENSG00000129595,Gene Expression,GRCh38,False,230,0.09752261,0.093055464,90.95556429414077,248.0,5.5174527,229,False,0.07206739720985747,0.018003284118509398,-0.3414507
APC,ENSG00000134982,Gene Expression,GRCh38,False,441,0.19937082,0.1817971,82.65827762485254,507.0,6.2304816,439,False,0.154492065549049,0.05993252943122875,-0.079188064
SRP19,ENSG00000153037,Gene Expression,GRCh38,False,611,0.31222966,0.2717277,75.97325992921746,794.0,6.6783423,608,False,0.22581470337447657,0.08893803247747219,-0.11812548
REEP5,ENSG00000129625,Gene Expression,GRCh38,False,1614,1.3916634,0.87198913,36.53165552497051,3539.0,8.171882,1612,False,0.7467210735697969,0.1995116056820613,0.050966926
DCP2,ENSG00000172795,Gene Expression,GRCh38,False,456,0.20408966,0.18572381,82.0684231222965,519.0,6.253829,455,False,0.1594920158033676,0.022026880249089508,-0.31628358
MCC,ENSG00000171444,Gene Expression,GRCh38,False,607,0.28391662,0.24991527,76.1305544632324,722.0,6.5834093,605,False,0.21912246981548236,0.11876295073580921,0.08196803
TSSK1B,ENSG00000212122,Gene Expression,GRCh38,False,11,0.0043256,0.0043162713,99.56744003145891,11.0,2.4849067,11,False,0.0024757042250028137,-0.33477930119217797,-2.5480654
YTHDC2,ENSG00000047188,Gene Expression,GRCh38,False,491,0.222965,0.20127824,80.69209594966576,567.0,6.3421216,489,False,0.1751963021564672,0.0962367985314039,0.14789099
KCNN2,ENSG00000080709,Gene Expression,GRCh38,False,101,0.045222178,0.044229474,96.0283130161227,115.0,4.75359,99,False,0.027650334516559204,-0.18608903959475043,-1.6180248
TRIM36,ENSG00000152503,Gene Expression,GRCh38,False,198,0.09083759,0.08694583,92.21392056626033,231.0,5.4467373,197,False,0.060625737945690164,0.05405606402073691,-0.11594468
PGGT1B,ENSG00000164219,Gene Expression,GRCh38,False,532,0.244593,0.21880856,79.07982697601258,622.0,6.4345465,530,False,0.1881864552140408,0.02447468623074835,-0.30097282
CCDC112,ENSG00000164221,Gene Expression,GRCh38,False,178,0.07510814,0.07242125,93.00039323633503,191.0,5.2574954,177,False,0.06405133960803268,0.13882280854725024,0.4142616
FEM1C,ENSG00000145780,Gene Expression,GRCh38,False,758,0.38143924,0.32312587,70.1926858041683,970.0,6.8783264,756,False,0.2949536961667782,0.1370902391979978,0.20492467
TICAM2,ENSG00000243414,Gene Expression,GRCh38,False,75,0.03106567,0.0305929,97.05072748721982,79.0,4.3820267,75,True,0.030031071519077007,0.19963722696749012,0.7946488
TMED7,ENSG00000134970,Gene Expression,GRCh38,False,672,0.33700353,0.29043093,73.57451828548957,857.0,6.754604,670,False,0.2432293798471554,0.017952871162265707,-0.5943605
CDO1,ENSG00000129596,Gene Expression,GRCh38,False,14,0.0055053085,0.00549021,99.4494691309477,14.0,2.7080503,14,False,0.005175005301476309,0.026865402649623428,-0.28601918
ATG12,ENSG00000145782,Gene Expression,GRCh38,False,1030,0.5517106,0.43935794,59.496657491152185,1403.0,7.247081,1028,False,0.393918365854938,0.09068893161016986,-0.10637881
COMMD10,ENSG00000145781,Gene Expression,GRCh38,False,614,0.29728666,0.2602749,75.85528902870625,756.0,6.629363,612,False,0.22076497230249426,0.0780430748166106,-0.19121908
SEMA6A,ENSG00000092421,Gene Expression,GRCh38,False,231,0.09988203,0.09520293,90.91624066063704,254.0,5.5412636,230,False,0.0865647162650505,0.14942192085689018,0.48055786
DTWD2,ENSG00000169570,Gene Expression,GRCh38,False,267,0.112072356,0.10622526,89.50058985450255,285.0,5.655992,265,False,0.09345698995145381,0.07289311205997015,0.0018788957
DMXL1,ENSG00000172869,Gene Expression,GRCh38,False,1383,1.0829729,0.7337961,45.61541486433346,2754.0,7.9211726,1381,False,0.6054295994010361,0.1783315031169631,-0.039092764
TNFAIP8,ENSG00000145779,Gene Expression,GRCh38,False,441,0.19622493,0.1791707,82.65827762485254,499.0,6.214608,441,False,0.15428410257652064,0.081567542902757,0.05613647
HSD17B4,ENSG00000133835,Gene Expression,GRCh38,False,916,0.4911522,0.3995491,63.97955171057805,1249.0,7.130899,914,False,0.3371264167809737,0.05920437201665413,-0.31760675
PRR16,ENSG00000184838,Gene Expression,GRCh38,False,303,0.13291389,0.12479298,88.08493904836807,338.0,5.826,302,False,0.10864063550447464,0.059604527075231985,-0.081239685
SRFBP1,ENSG00000151304,Gene Expression,GRCh38,False,210,0.09005112,0.08622459,91.74203696421549,229.0,5.4380794,209,False,0.07482715655553215,0.14582553331902243,0.45806286
LOX,ENSG00000113083,Gene Expression,GRCh38,False,276,0.114038534,0.10799173,89.14667715296893,290.0,5.673323,276,False,0.10235015302282938,0.1042479907190563,0.19800007
SNCAIP,ENSG00000064692,Gene Expression,GRCh38,False,352,0.15454188,0.14370362,86.15808100668502,393.0,5.976351,351,True,0.13921703210458272,0.16780625620177336,0.59554976
SNX2,ENSG00000205302,Gene Expression,GRCh38,False,1051,0.5709792,0.4516991,58.67086118757373,1452.0,7.281386,1049,False,0.4074410581403787,0.08553327244894492,-0.21259372
SNX24,ENSG00000064652,Gene Expression,GRCh38,False,224,0.093590245,0.08946609,91.19150609516319,238.0,5.4764633,224,False,0.07416123041973083,0.04670049712189993,-0.16195291
PPIC,ENSG00000168938,Gene Expression,GRCh38,False,712,0.33700353,0.29043093,72.00157294534016,857.0,6.754604,711,True,0.27074507754404536,0.1799859885971467,0.49270958
PRDM6,ENSG00000061455,Gene Expression,GRCh38,False,193,0.081399925,0.07825643,92.410538733779,207.0,5.3375382,193,True,0.07765025494937461,0.17811864804731645,0.6600526
CEP120,ENSG00000168944,Gene Expression,GRCh38,False,363,0.15886748,0.14744322,85.72552103814392,404.0,6.003887,362,False,0.1313817552742739,0.08296998296575916,0.06490857
CSNK1G3,ENSG00000151292,Gene Expression,GRCh38,False,462,0.20173024,0.18376239,81.83248132127409,513.0,6.2422233,461,False,0.15724702933676332,-0.020427904719398173,-0.5818334
ZNF608,ENSG00000168916,Gene Expression,GRCh38,False,257,0.11246559,0.106578805,89.89382618953992,286.0,5.659482,257,False,0.09172455094932663,0.14329446587607436,0.44223133
PHAX,ENSG00000164902,Gene Expression,GRCh38,False,423,0.18442784,0.16925983,83.36610302791978,469.0,6.152733,422,False,0.1523792463422491,0.07697569641378246,0.027414994
LMNB1,ENSG00000113368,Gene Expression,GRCh38,False,80,0.032638617,0.032117292,96.85410931970114,83.0,4.4308167,80,False,0.026742103751973313,0.02490698171560838,-0.29826885
MARCH3,ENSG00000173926,Gene Expression,GRCh38,False,37,0.014549744,0.014444913,98.54502556036178,37.0,3.637586,37,False,0.010179637797608828,-0.21316419865156186,-1.7873769
MEGF10,ENSG00000145794,Gene Expression,GRCh38,False,24,0.009830908,0.009782899,99.05623279591033,25.0,3.2580965,24,True,0.011193850263958454,0.8617891339412337,4.936333
PRRC1,ENSG00000164244,Gene Expression,GRCh38,False,766,0.39244986,0.33106467,69.87809673613842,998.0,6.906755,764,False,0.2812466893948459,0.0869466010039944,-0.13148586
SLC12A2,ENSG00000064651,Gene Expression,GRCh38,False,559,0.30121905,0.26330155,78.01808887141172,766.0,6.6424866,558,False,0.2095736529115442,0.1468307596043916,0.2702732
FBN2,ENSG00000138829,Gene Expression,GRCh38,False,72,0.030279199,0.029829832,97.16869838773103,77.0,4.356709,72,True,0.028142007457529886,0.16502819015415696,0.5781733
SLC27A6,ENSG00000113396,Gene Expression,GRCh38,False,82,0.03342509,0.032878615,96.77546205269367,85.0,4.454347,82,False,0.029289084648436096,0.04807634900884533,-0.15334712
ISOC1,ENSG00000066583,Gene Expression,GRCh38,False,288,0.12426268,0.117127426,88.67479355092411,316.0,5.7589016,288,True,0.10536222960954113,0.20318450924854148,0.8168367
ADAMTS19,ENSG00000145808,Gene Expression,GRCh38,False,28,0.011010617,0.0109504415,98.8989382618954,28.0,3.3672957,28,False,0.009678956528395646,0.03039545508632368,-0.26393908
HINT1,ENSG00000169567,Gene Expression,GRCh38,False,1959,2.0086513,1.1014919,22.965001966181674,5108.0,8.538759,1957,False,0.9693279369083079,0.11587628479612332,-0.42498365
LYRM7,ENSG00000186687,Gene Expression,GRCh38,False,329,0.13566653,0.12721974,87.06252457727093,345.0,5.846439,329,False,0.11532724896893262,0.13484424049361327,0.38937613
CDC42SE2,ENSG00000158985,Gene Expression,GRCh38,False,933,0.5627212,0.44642866,63.31104994101455,1431.0,7.2668276,931,False,0.3615670489694578,0.08591067445056895,-0.13843584
RAPGEF6,ENSG00000158987,Gene Expression,GRCh38,False,366,0.15965395,0.14812164,85.60755013763271,406.0,6.0088134,365,False,0.1306021472535113,0.07811627405606344,0.034549177
FNIP1,ENSG00000217128,Gene Expression,GRCh38,False,652,0.3106567,0.27052832,74.3609909555643,790.0,6.673298,651,False,0.24737695994031825,0.14238770721422042,0.24046504
ACSL6,ENSG00000164398,Gene Expression,GRCh38,False,26,0.010224145,0.010172232,98.97758552890286,26.0,3.295837,26,False,0.007631004583667813,-0.1823442875361291,-1.5946019
P4HA2,ENSG00000072682,Gene Expression,GRCh38,False,515,0.23948093,0.21469268,79.74832874557609,609.0,6.413459,514,False,0.18860494938028377,0.09301843153778672,0.12776047
PDLIM4,ENSG00000131435,Gene Expression,GRCh38,False,1345,0.820291,0.59899634,47.10971293747542,2086.0,7.6434827,1342,False,0.5600516652892378,0.15357006783143357,0.06193382
SLC22A4,ENSG00000197208,Gene Expression,GRCh38,False,61,0.024380652,0.024088189,97.60125835627213,62.0,4.1431346,61,False,0.019385501216532038,-0.0034219969814095184,-0.4754634
SLC22A5,ENSG00000197375,Gene Expression,GRCh38,False,362,0.16319308,0.15116888,85.76484467164767,415.0,6.0306854,361,False,0.12194595037748605,0.03217341398853245,-0.25281817
IRF1,ENSG00000125347,Gene Expression,GRCh38,False,471,0.22768384,0.20512934,81.47856861974047,579.0,6.363028,471,True,0.1739067256608168,0.16315389528324423,0.56644976
RAD50,ENSG00000113522,Gene Expression,GRCh38,False,821,0.40188754,0.33781958,67.71529689343295,1022.0,6.930495,818,False,0.2986940191367962,0.046872102420956754,-0.40034318
KIF3A,ENSG00000131437,Gene Expression,GRCh38,False,489,0.22178529,0.20031314,80.77074321667322,564.0,6.336826,489,False,0.1785885834536819,0.09132892868705648,0.11719282
SEPTIN8,ENSG00000164402,Gene Expression,GRCh38,False,721,0.35981125,0.3073459,71.64766024380653,915.0,6.8200164,719,False,0.2620971023121791,0.08174513408016025,-0.16638218
SOWAHA,ENSG00000198944,Gene Expression,GRCh38,False,21,0.008257963,0.008224052,99.17420369642154,21.0,3.0910425,21,False,0.005848881743039998,0.04363649576180549,-0.18111789
SHROOM1,ENSG00000164403,Gene Expression,GRCh38,False,600,0.3008258,0.2629993,76.40581989775855,765.0,6.641182,599,False,0.20920068143645892,0.032566728088811135,-0.49631703
UQCRQ,ENSG00000164405,Gene Expression,GRCh38,False,1850,1.660637,0.9785656,27.251278018088875,4223.0,8.348537,1847,False,0.8670671021546071,0.13347033900955377,-0.35614726
AFF4,ENSG00000072364,Gene Expression,GRCh38,False,1169,0.6924892,0.52620035,54.03067243413291,1761.0,7.474205,1167,False,0.45482751074234357,0.05296343191553404,-0.3440126
ZCCHC10,ENSG00000155329,Gene Expression,GRCh38,False,230,0.09752261,0.093055464,90.95556429414077,248.0,5.5174527,229,False,0.07927132888887986,0.02698179803537059,-0.28529114
HSPA4,ENSG00000170606,Gene Expression,GRCh38,False,1080,0.59811246,0.46882322,57.530475815965396,1521.0,7.3277807,1077,False,0.41880411391313066,0.12984652880027683,-0.03379034
FSTL4,ENSG00000053108,Gene Expression,GRCh38,False,25,0.010224145,0.010172232,99.0169091624066,26.0,3.295837,25,False,0.007690477605147435,0.006033107222871349,-0.4163228
C5orf15,ENSG00000113583,Gene Expression,GRCh38,False,701,0.36217067,0.3090795,72.43413291388124,921.0,6.8265452,699,False,0.2545744704081194,0.04637637039672685,-0.403669
VDAC1,ENSG00000213585,Gene Expression,GRCh38,False,1553,1.1270154,0.75471973,38.930397168698384,2866.0,7.9610214,1551,False,0.667080950518846,0.10184851318901633,-0.3643053
TCF7,ENSG00000081059,Gene Expression,GRCh38,False,177,0.07589461,0.07315251,93.03971686983877,193.0,5.267858,177,False,0.0630032612754029,0.11785342577307813,0.28310052
CDKL3,ENSG00000006837,Gene Expression,GRCh38,False,115,0.046795122,0.045733232,95.47778214707039,119.0,4.787492,115,True,0.043351557128078054,0.15693136645010516,0.5275286
UBE2B,ENSG00000119048,Gene Expression,GRCh38,False,1271,0.79158473,0.58310056,50.01966181675187,2013.0,7.607878,1269,False,0.50670837296286,0.01474075834569744,-0.49824056
JADE2,ENSG00000043143,Gene Expression,GRCh38,False,489,0.22099882,0.19966923,80.77074321667322,562.0,6.3332796,488,False,0.1722740908125911,0.062059014329374114,-0.065887146
SAR1B,ENSG00000152700,Gene Expression,GRCh38,False,869,0.46401888,0.38118532,65.82776248525364,1180.0,7.0741167,867,False,0.3277695176930078,0.09768418400183393,-0.059448097
SEC24A,ENSG00000113615,Gene Expression,GRCh38,False,513,0.24498624,0.21912448,79.82697601258356,623.0,6.4361506,512,False,0.17844479194314153,0.03719975745488291,-0.22137895
CAMLG,ENSG00000164615,Gene Expression,GRCh38,False,1295,0.75658673,0.56337255,49.07589461266221,1924.0,7.562681,1293,False,0.5244235935165522,0.11183563190414876,-0.10646406
DDX46,ENSG00000145833,Gene Expression,GRCh38,False,1046,0.5717656,0.45219958,58.867479355092414,1454.0,7.282761,1044,False,0.40178353160202696,0.09065279104519254,-0.19193654
C5orf24,ENSG00000181904,Gene Expression,GRCh38,False,363,0.15965395,0.14812164,85.72552103814392,406.0,6.0088134,362,False,0.12975260034923994,0.1196907204022667,0.2945926
TXNDC15,ENSG00000113621,Gene Expression,GRCh38,False,791,0.39834842,0.33529183,68.89500589854502,1013.0,6.921658,790,False,0.29269453500352427,0.054288989661472914,-0.35058373
CATSPER3,ENSG00000152705,Gene Expression,GRCh38,False,18,0.00747149,0.0074437167,99.29217459693275,19.0,2.9957323,18,False,0.00588373199891235,0.01783144769095626,-0.3425255
PITX1,ENSG00000069011,Gene Expression,GRCh38,False,267,0.12544239,0.11817619,89.50058985450255,319.0,5.768321,267,False,0.08401747830719634,-0.02953110017981438,-0.63877285
H2AFY,ENSG00000113648,Gene Expression,GRCh38,False,1038,0.58316946,0.45942882,59.1820684231223,1483.0,7.3024964,1036,False,0.39092864191742516,0.05114590672456998,-0.37167048
CXCL14,ENSG00000145824,Gene Expression,GRCh38,False,393,0.2457727,0.21975598,84.54581203303185,625.0,6.4393506,393,True,0.16398730446029566,0.4237530449354539,2.1964676
TGFBI,ENSG00000120708,Gene Expression,GRCh38,False,1589,1.1250491,0.7537949,37.5147463625639,2861.0,7.9592757,1587,True,0.712667006124815,0.30585949649754995,0.5031677
SMAD5,ENSG00000113658,Gene Expression,GRCh38,False,800,0.4125049,0.34536466,68.5410931970114,1049.0,6.9565454,799,False,0.3131959757081981,0.14057100928192523,0.22827694
SPOCK1,ENSG00000152377,Gene Expression,GRCh38,False,691,0.4007078,0.3369777,72.8273692489186,1019.0,6.927558,689,True,0.2759947250726552,0.19719848747355187,0.60818714
KLHL3,ENSG00000146021,Gene Expression,GRCh38,False,122,0.049154542,0.04798464,95.20251671254424,125.0,4.836282,121,False,0.040735193185180055,0.026265907835330327,-0.28976893
HNRNPA0,ENSG00000177733,Gene Expression,GRCh38,False,1913,1.7235548,1.001938,24.77388910735352,4383.0,8.385716,1911,False,0.9000743603508498,0.08489308109484525,-0.54620486
MYOT,ENSG00000120729,Gene Expression,GRCh38,False,169,0.0876917,0.08405775,93.35430593786866,223.0,5.411646,169,True,0.09280544842462868,0.7597102092249172,4.2978415
FAM13B,ENSG00000031003,Gene Expression,GRCh38,False,151,0.06213134,0.06027759,94.0621313409359,158.0,5.0689044,151,False,0.05477528836197547,0.10313526576646065,0.19104011
NME5,ENSG00000112981,Gene Expression,GRCh38,False,194,0.08061345,0.07752889,92.37121510027526,205.0,5.327876,193,True,0.06805840023224602,0.154464478627872,0.5120985
BRD8,ENSG00000112983,Gene Expression,GRCh38,False,817,0.4144711,0.34675568,67.8725914274479,1054.0,6.961296,815,False,0.2962039219555316,0.06730130932464362,-0.2632849
CDC23,ENSG00000094880,Gene Expression,GRCh38,False,327,0.14313802,0.13377713,87.1411718442784,364.0,5.8998976,325,False,0.11407708295860443,0.08174441619955831,0.057242792
GFRA3,ENSG00000146013,Gene Expression,GRCh38,False,81,0.0346048,0.03401952,96.8147856861974,88.0,4.4886365,81,True,0.034790829814022095,0.2248216408833088,0.9521745
FAM53C,ENSG00000120709,Gene Expression,GRCh38,False,565,0.26268187,0.23323792,77.7821470703893,668.0,6.505784,564,False,0.20068722911997547,0.04585184331353495,-0.40718803
KDM3B,ENSG00000120733,Gene Expression,GRCh38,False,1063,0.5945733,0.4666062,58.1989775855289,1512.0,7.32185,1061,False,0.40625326910386783,0.05237155124746687,-0.34640083
REEP2,ENSG00000132563,Gene Expression,GRCh38,False,328,0.13999213,0.13102137,87.10184821077468,356.0,5.8777356,328,True,0.1314489961191515,0.17675330755402632,0.65151256
EGR1,ENSG00000120738,Gene Expression,GRCh38,False,1973,2.6629965,1.2982816,22.414471097129372,6772.0,8.8207,1970,True,1.2243564947801335,1.1508366449248244,2.2766664
HSPA9,ENSG00000113013,Gene Expression,GRCh38,False,1379,0.94730633,0.66644704,45.77270939834841,2409.0,7.787382,1377,False,0.5765126569333652,0.10105673483731817,-0.14995676
CTNNA1,ENSG00000044115,Gene Expression,GRCh38,False,1578,1.0963429,0.7401944,37.94730633110499,2788.0,7.9334383,1576,False,0.6675133446816919,0.07359311967955304,-0.48444974
SIL1,ENSG00000120725,Gene Expression,GRCh38,False,402,0.18442784,0.16925983,84.19189933149823,469.0,6.152733,400,False,0.1423915600941402,0.07149349612833232,-0.006875542
MATR3,ENSG00000280987,Gene Expression,GRCh38,False,1754,1.3794731,0.86687905,31.026346834447505,3508.0,8.163086,1750,False,0.7776567701474143,0.035101075147139095,-0.64812136
PAIP2,ENSG00000120727,Gene Expression,GRCh38,False,1209,0.74007076,0.55392575,52.457727093983486,1882.0,7.5406218,1207,False,0.47588147177534107,0.05144663618165588,-0.35013282
SLC23A1,ENSG00000170482,Gene Expression,GRCh38,False,22,0.0086512,0.0086139925,99.13488006291782,22.0,3.1354942,22,False,0.0065817695211794645,0.0382161523138046,-0.21502152
MZB1,ENSG00000170476,Gene Expression,GRCh38,False,114,0.05465985,0.053218298,95.51710578057413,139.0,4.9416423,113,False,0.03453941568641677,0.03995143854082524,-0.2041675
PROB1,ENSG00000228672,Gene Expression,GRCh38,False,27,0.010617381,0.010561412,98.93826189539914,27.0,3.3322046,27,False,0.009753810288110605,-0.02604933727498902,-0.6169948
SPATA24,ENSG00000170469,Gene Expression,GRCh38,False,82,0.03224538,0.031736407,96.77546205269367,82.0,4.4188404,82,False,0.025766387301237616,-0.059899805573616335,-0.82872564
DNAJC18,ENSG00000170464,Gene Expression,GRCh38,False,186,0.075501375,0.07278695,92.68580416830515,192.0,5.26269,186,False,0.0688192476633165,0.10110935920501879,0.1783683
ECSCR,ENSG00000249751,Gene Expression,GRCh38,False,241,0.114431776,0.10834466,90.52300432559969,291.0,5.676754,241,True,0.09562278391054856,0.241806147977269,1.0584106
TMEM173,ENSG00000184584,Gene Expression,GRCh38,False,702,0.37003538,0.31483656,72.39480928037752,941.0,6.8480053,702,False,0.2538565339144591,0.023351680529936147,-0.5581402
UBE2D2,ENSG00000131508,Gene Expression,GRCh38,False,1306,0.77428234,0.573396,48.64333464412112,1969.0,7.5857887,1302,False,0.5214617331947802,0.055565145110960154,-0.33351472
CXXC5,ENSG00000171604,Gene Expression,GRCh38,False,104,0.04168305,0.040837724,95.91034211561148,106.0,4.6728287,103,False,0.033521445466135676,-0.006412657379195611,-0.49416962
PSD2,ENSG00000146005,Gene Expression,GRCh38,False,13,0.0055053085,0.00549021,99.48879276445143,14.0,2.7080503,13,True,0.005427443757041184,0.24103686792420626,1.0535989
